prediction,ground_truth,wer,errors,ref_words
The experience,The experience.,0.0,0,2
He said he's been saying one more.,He said he's been saying one more.,0.0,0,7
I can't really think of anything else offhand.,I can't really think of anything else offhand.,0.0,0,8
I couldn't make think of what you call them.,I couldn't even think of what you call them.,0.1111111111111111,1,9
I grew up water skiing,I grew up water skiing.,0.0,0,5
They waited a couple years,They waited a couple years.,0.0,0,5
I have a cold one,I have a gold one.,0.2,1,5
There's not a whole lot,There's not a whole lot.,0.0,0,5
There was no wood on camp facilities.,There was no word on casualties.,0.5,3,6
It kind of will down,It kind of wound down.,0.2,1,5
But my boss we that pay for it,But my boss wouldn't pay for it.,0.2857142857142857,2,7
My mother was complaining last year about that.,My mother was complaining last year about that.,0.0,0,8
Very scary to see what they found out,Very scary to see what they found out.,0.0,0,8
Not too much soy sauce,Not too much soy sauce.,0.0,0,5
Then of your business,None of your business.,0.25,1,4
He put up all of his hack trees,He put up all of his ash trays.,0.25,2,8
He didn't just say,He didn't just say.,0.0,0,4
If there was a credible punishment,If there was a credible punishment.,0.0,0,6
I've been pretty successful with that,I've been pretty successful with that.,0.0,0,6
In the previous version,In the previous version.,0.0,0,4
Was it third of December?,Was it third of December?,0.0,0,5
Envision of pommel,Invasion of Burma.,0.6666666666666666,2,3
I guess we don't really use that many ten cats.,I guess we don't really use that many tin cans.,0.2,2,10
We’re a set down together family,We're a sit down together family.,0.3333333333333333,2,6
I'm originally from Maine,I'm originally from Maine.,0.0,0,4
He had a hot pad,He had a hot pad.,0.0,0,5
Sometimes they're not very open.,Sometimes they're not very open.,0.0,0,5
Right now I'm getting about sixty bucks a month.,Right now I'm getting about sixty bucks a month.,0.0,0,9
That kind of gas malice,That kind of gas mileage.,0.2,1,5
He want do that yet,He won't do that yet.,0.2,1,5
I mean it's dying now,I mean it's dying now.,0.0,0,5
It was written many years ago,It was written many years ago.,0.0,0,6
To you go by the ads when you look at them,Do you go by the ads when you look at them?,0.09090909090909091,1,11
Do you get cable,Do you get cable?,0.0,0,4
And these gets back to capital bottasment,And this gets back to capital punishment.,0.2857142857142857,2,7
Here are some key points from the briefing.,Here are some key points from the briefing.,0.0,0,8
Ninety-seven since a week,Ninety seven cents a week.,0.6,3,5
I think the roads now are less divide,I think the roles now are less defined.,0.25,2,8
We started taking her,We started taking her.,0.0,0,4
So think you for not using the exploit,So thank you for not using the exploit.,0.125,1,8
They're a common and it's a little bit weak,Their economy's a little bit weak.,0.8333333333333334,5,6
Employees will not get any severance pay.,Employees will not get any severance pay.,0.0,0,7
I really feel bad for the people I see there,I really feel bad for the people I see there.,0.0,0,10
Even in my gaze,Even in my case.,0.25,1,4
According to the judicial system,According to the judicial system.,0.0,0,5
Afford the payments on a used car,Afford the payments on a used car.,0.0,0,7
Couple of hundred kids in the bad,Couple of hundred kids in the band.,0.14285714285714285,1,7
I found that really helps,I found that really helps.,0.0,0,5
That sort of stuff,That sort of stuff.,0.0,0,4
I know we’ve had this one lady that was a tenant,I know we've had this one lady that was attacked.,0.3,3,10
We went to Colorado Springs,We went to Colorado Springs.,0.0,0,5
Now it doesn’t bother me at all.,Now it doesn't bother me at all.,0.14285714285714285,1,7
Don't have enough money,Don't have enough money.,0.0,0,4
But I haven't told my husband,But I haven't told my husband.,0.0,0,6
I have some neighbors across the field,I have some neighbors across the field.,0.0,0,7
Have some part of the law,Have some part of the law.,0.0,0,6
What's the children were grown,Once the children were grown.,0.2,1,5
Special to the Detroit Free Press,Special to the Detroit Free Press.,0.0,0,6
I'm doing all right.,I'm doing all right.,0.0,0,4
I guess it's close enough.,I guess it's close enough.,0.0,0,5
A good appearance to do a good job there you work,A good appearance to do a good job where you work.,0.09090909090909091,1,11
People do not want more money,People donate more money.,0.75,3,4
People put them in,People put them in.,0.0,0,4
Every time I do something,Every time I do something.,0.0,0,5
Is there a basis for it,Is there a basis for it?,0.0,0,6
I think because it cause lets,I think because it costs less.,0.3333333333333333,2,6
It's a witness and all,It's a weakness and all.,0.2,1,5
It’s a Eddie eight,It's a eighty eight.,0.5,2,4
Things are free enough,Things are free enough.,0.0,0,4
At the time you hired on with this company,At the time you hired on with this company.,0.0,0,9
For the things that we want,For the things that we want.,0.0,0,6
Trimming season is upon the boys,Streaming season is opening boys!,0.6,3,5
It's already done for you,It's already done for you.,0.0,0,5
He had been in that position for years.,He had been in that position for years.,0.0,0,8
Outside the building it's not bad,Outside the building it's not bad.,0.0,0,6
The fifth term's families and things,The victims' families and things.,0.4,2,5
I don't want to do anything,I don't want to do anything.,0.0,0,6
You know I don't know,You know I don't know.,0.0,0,5
It's difficult to really say why,It's difficult to really say why.,0.0,0,6
There was a voice in her head.,There was a voice in her head.,0.0,0,7
Lawmakers backed a measure last year,Lawmakers passed a measure last year.,0.16666666666666666,1,6
I’d be your ears,I'd be curious.,1.0,3,3
It’s like a major prediction,It's like a major production.,0.4,2,5
We ended up watching it for a couple of hours,We ended up watching it for a couple of hours.,0.0,0,10
You live in call,You live in Garland.,0.25,1,4
Anything on that,Anything on that.,0.0,0,3
He's never gone away,He's never gone away.,0.0,0,4
What will be a luxury in the future,What will be a luxury in the future?,0.0,0,8
Fiction books that I really like,Fiction books that I really like.,0.0,0,6
I was really working with the middle cl,I was really working with the middle class.,0.125,1,8
You have to get everything replaced.,You have to get everything replaced.,0.0,0,6
There would be no way to do it,There would be no way to do it.,0.0,0,8
What is it called,What is it called?,0.0,0,4
They do take up a lot of your time,They do take up a lot of your time.,0.0,0,9
I'm still going,I'm still going.,0.0,0,3
What would you find if you just kept on going,What would you find if you just kept on going?,0.0,0,10
Helps them understand the world,Helps them understand the world.,0.0,0,5
I do study what's going on in the economy.,I do study what's going on in the economy.,0.0,0,9
I like that they run tests,I like that they run tense.,0.16666666666666666,1,6
Just like how you said my father why,Just like how you said my father was.,0.125,1,8
You're going to get it,You're going to get it.,0.0,0,5
Guided by versus,Guided by voices.,0.3333333333333333,1,3
When was the last time we measured you,When was the last time we measured you?,0.0,0,8
I wouldn't him to when best actor on top of it,I wanted him to win best actor on top of it.,0.18181818181818182,2,11
I heard this on a free-nature program,I heard this on a Christian program.,0.14285714285714285,1,7
You look down at your home,You look down at your arm.,0.16666666666666666,1,6
"The permit it, try it all",The Bermuda Triangle.,1.6666666666666667,5,3
He’s the mess old,He's nine months old.,0.75,3,4
It is like a country,It is like a country.,0.0,0,5
A male professor,A male profession.,0.3333333333333333,1,3
The lettuce clip inside,The islanders sleep inside.,0.5,2,4
They are the Detroit teller,They are the Detroit delegates.,0.2,1,5
They have Coopers,They have coupons.,0.3333333333333333,1,3
I get bit of a can,I can't believe they can.,0.8,4,5
You just have to keep buying them,You just have to keep buying them.,0.0,0,7
In a new house everything is what,In a new house everything is white.,0.14285714285714285,1,7
Is this the way out maybe,Easiest way out maybe.,0.75,3,4
That will have some our problem,That will help solve our problems.,0.5,3,6
What kind of things do you think can be done?,What kind of things do you think can be done.,0.0,0,10
I try to make sure,I try to make sure.,0.0,0,5
There are also this various disclose,There are also these various disclosures.,0.3333333333333333,2,6
Enjoy the holidays,Enjoy the Holidays.,0.0,0,3
No easy choice.,No easy choices.,0.3333333333333333,1,3
Drunk drivers kill people,Drunk drivers kill people.,0.0,0,4
On permission or before and kid someone eh,On probation or parole and killed someone else.,0.5,4,8
This brings me to the next point.,This brings me to the next point.,0.0,0,7
I don't think there in a conspiracy,I don't think they're in a conspiracy.,0.14285714285714285,1,7
A million dollars on you,A million dollars a year.,0.4,2,5
Dress traps bijit is just a propether at this point,Trump's budget is just a proposal at this point.,0.4444444444444444,4,9
We've had one as long as I can remember,We've had one as long as I can remember.,0.0,0,9
However there is one key point to keep in mind.,"However, there is one key point to keep in mind.",0.0,0,10
It's working up to a year now.,It's working up to a year now.,0.0,0,7
A house full of snow,A house full of snow.,0.0,0,5
All those European countries,All those European countries.,0.0,0,4
All of those things that want us with kids,All of those things that one does with kids.,0.2222222222222222,2,9
That are getting taught at home,That aren't getting taught at home.,0.16666666666666666,1,6
That's what they said,That's what they said.,0.0,0,4
That's your other 81,Tax year of eighty one.,1.0,5,5
That's a big concern if you live there.,That's a big concern if you live there.,0.0,0,8
So the doctor elected to have her,So the doctor elected to have her.,0.0,0,7
Did they mail that to you?,Did they mail that to you?,0.0,0,6
Team would like to take on other genres,Tim would like to take on other genres.,0.125,1,8
Can't give up on it,Can't give up on it.,0.0,0,5
Through the newspaper reviews,Through the newspaper reviews.,0.0,0,4
We should see to our own life,We should see to our own lives.,0.14285714285714285,1,7
What have you seen,What have you seen?,0.0,0,4
What do you like to do this time of year?,What do you like to do this time of year.,0.0,0,10
She didn't announce that to you,She didn't announce that to you.,0.0,0,6
I never even knew that,I never even knew that.,0.0,0,5
There was one other person besides myself,There was one other person besides myself.,0.0,0,7
You don't have to hide it either.,You don't have to hide it either.,0.0,0,7
New you can't get all of us,You can't get all of us.,0.16666666666666666,1,6
I think the news meant,I think the newsmen.,0.5,2,4
That's understandable.,That's understandable.,0.0,0,2
We see them at least once a week.,We see them at least once a week.,0.0,0,8
That was a shirker to me,That was a shocker to me.,0.16666666666666666,1,6
It came out I guess about a month,It came out I guess about a month.,0.0,0,8
I saw all seven games of that,I saw all seven games of that.,0.0,0,7
The decision was not even close,The decision was not even close.,0.0,0,6
We always seem to,We always seem to.,0.0,0,4
The house payment,The house payment.,0.0,0,3
Tentacle decision,Tactical decision.,0.5,1,2
That's what's happening here.,That's what's happening here.,0.0,0,4
They have a lot of cattle in the area,They have a lot of cattle in the area.,0.0,0,9
That's one of the biggest ones I've seen.,That's one of the biggest ones I've seen.,0.0,0,8
My name is Pat Johnson and I live in Texas.,My name is Pat Johnson and I live in Texas.,0.0,0,10
They can if they want to,They can if they want to.,0.0,0,6
A a liberal arts school,A liberal arts school.,0.25,1,4
In the Houston area,In the Houston area.,0.0,0,4
What kind of puppy you got,What kind of puppy you got?,0.0,0,6
You actually had twentied it yourself,You actually hand quilted it yourself.,0.3333333333333333,2,6
Got into it when I was young,Got into it when I was young.,0.0,0,7
It's depressing too,It's depressing too.,0.0,0,3
They live with us,They live with us.,0.0,0,4
He's just grooving off like he always has,He's just goofing off like he always has.,0.125,1,8
It's nothing like what it used to be,It's nothing like what it used to be.,0.0,0,8
We try to do one thing once a year.,We try to do one thing once a year.,0.0,0,9
You can come and go as you please.,You can come and go as you please.,0.0,0,8
You just call him direct.,You just call him direct.,0.0,0,5
Owning on them and making payments on them,Owning on them and making payments on them.,0.0,0,8
You can have a variety.,You can have a variety.,0.0,0,5
You have to fly through,You have to fly through.,0.0,0,5
Just the Kraken are China,Just the regular channel.,0.75,3,4
He plays pretty regularly,He plays pretty regularly.,0.0,0,4
You don't feel super cold.,You don't feel super cold.,0.0,0,5
What are the problems with public education,What are the problems with public education?,0.0,0,7
Who will know point in playly on the past,"Oh well, no point in dwelling on the past.",0.4444444444444444,4,9
You have to pay the interest,You have to pay the interest.,0.0,0,6
I’m old-fashioned.,I'm old fashioned.,1.0,3,3
It’s just a matter of passing the law.,It's just a matter of passing the law.,0.125,1,8
You all itty departed,Zoology department.,2.0,4,2
Not that she will remember them,Not that she will remember them.,0.0,0,6
It didn't matter.,It didn't matter.,0.0,0,3
That's still not enoughs for a total,That's still not enough for a total.,0.14285714285714285,1,7
I'm not seeing that they were,I'm not saying that they were.,0.16666666666666666,1,6
Pay an exacted and you know,Pay and exhaustion and you know.,0.3333333333333333,2,6
All my aunts and uncles,All my aunts and uncles.,0.0,0,5
A researcher that employs mannerity,A restaurant that employs minorities.,0.4,2,5
It's just one story,It's just one story.,0.0,0,4
There was one point I was going to make,There was one point I was going to make.,0.0,0,9
I have four in the sea when I I injustice to see,I have more energy when I exercise.,1.1428571428571428,8,7
Probably seventy,Probably seventies.,0.5,1,2
The card is yet to make its decision public.,The court is yet to make its decision public.,0.1111111111111111,1,9
He's not that old,He's not that old.,0.0,0,4
He’s an indoor cat,He's an indoor cat.,0.25,1,4
It's a number,It's a nightmare.,0.3333333333333333,1,3
That kind of threw them off,That kind of threw them off.,0.0,0,6
I'm mostly the easy cooker,I'm mostly the easy cooker.,0.0,0,5
It's not anything like Kansas.,It's not anything like Kansas.,0.0,0,5
We’re within walking distance.,We're within walking distance.,0.25,1,4
I don't care for that at all.,I don't care for that at all.,0.0,0,7
That's a previous generation,That's a previous generation.,0.0,0,4
I get great distaste eating it,I get great distance hitting it.,0.3333333333333333,2,6
The kids like to go,The kids like to go out.,0.16666666666666666,1,6
I kind of eat right after high school,I got it right after high school.,0.42857142857142855,3,7
Regine changes in Erie,Regime change in Iran.,0.75,3,4
There is some definite scar in her rebore.,There is some definite snark in her report.,0.25,2,8
As for as that goes,As far as that goes.,0.2,1,5
Not it terms of north and south,Not in terms of north and south.,0.14285714285714285,1,7
A few minutes ago,A few minutes ago.,0.0,0,4
He was a curry,He was a courier.,0.25,1,4
Here in Indicanan we pay,Here in Indiana we pay.,0.2,1,5
We didn't do it at very much,We didn't do it very much.,0.16666666666666666,1,6
It's not at all anything worth talking about.,It's not at all anything worth talking about.,0.0,0,8
They can pretty much get everybody there.,They can pretty much get everybody there.,0.0,0,7
Have the pills rubbed and everything,Have their bellies rubbed and everything.,0.3333333333333333,2,6
Aubiance down there,Ambiance down there.,0.3333333333333333,1,3
Go over there,Go over there.,0.0,0,3
Was this is entire family,Was this his entire family?,0.2,1,5
Is she going to stay home,Is she going to stay home?,0.0,0,6
I look at homing as a job also.,I look at homemaking as a job also.,0.125,1,8
My family's not very big,My family's not very big.,0.0,0,5
They are nimping at times,They are tempting at times.,0.2,1,5
You’ll have one or two that are good.,You'll have one or two that are good.,0.125,1,8
But a cat trap in your viewing,Put a cramp in your viewing.,0.5,3,6
The fines I really taking over,The vines are really taking over.,0.3333333333333333,2,6
"Governor, the people of Detroit don't forget.","Governor, the people of Detroit don't forget.",0.0,0,7
Sayin' or something like that,Seven or something like that.,0.2,1,5
Join the gag.,Join the gang.,0.3333333333333333,1,3
I have a standard,I have a standard.,0.0,0,4
I don't want any inner instance.,I don't want any interruptions.,0.4,2,5
At that’s kind of the way I was raised.,And that's kind of the way I was raised.,0.2222222222222222,2,9
I love all the wonders that they have out now too,I love all the windows that they have out now too.,0.09090909090909091,1,11
You know I don't.,You know I don't.,0.0,0,4
It’ll go through the lot,It'll go through the slot.,0.4,2,5
A fine profession,A fine profession.,0.0,0,3
All the money,All the money.,0.0,0,3
The thing that should be,The thing that should be.,0.0,0,5
If you are confident that it is the right choice,If you are convinced that it is the right choice.,0.1,1,10
Because that's perfectly clean,Because that's perfectly clean.,0.0,0,4
Make him feel like he wasn't wanted,Make him feel like he wasn't wanted.,0.0,0,7
We decided to stay,We decided to stay.,0.0,0,4
There just so suspenseful,They're just so suspenseful.,0.25,1,4
I don't like admiration,I don't like administration.,0.25,1,4
Did you have to do that,Did you have to do that?,0.0,0,6
I really enjoy that team,I really enjoy that team.,0.0,0,5
I can't think of his name now.,I can't think of his name now.,0.0,0,7
In fact the first year we were married,In fact the first year we were married.,0.0,0,8
I've got a two year old,I've got a two year old.,0.0,0,6
That's what the different types are.,That's what the different types are.,0.0,0,6
When I came back here,When I came back here.,0.0,0,5
Because she makes clothes,Because she makes clothes.,0.0,0,4
I don't want them or anything,I don't water them or anything.,0.16666666666666666,1,6
I did well in school,I did well in school.,0.0,0,5
A producer of movies in Pocktomore called,A producer of movies in Baltimore called.,0.14285714285714285,1,7
Just all different colleges,Just all different colors.,0.25,1,4
Barbecue's and Mexican food,Barbecues and Mexican food.,0.25,1,4
Conclusions on that,Congratulations on that.,0.3333333333333333,1,3
Especially not in some of these big cities.,Especially not in some of these big cities.,0.0,0,8
I have my own policy on free lattes,I have my own policy on freeloaders.,0.2857142857142857,2,7
The nursing home,The nursing home.,0.0,0,3
Slow call up to you,Snuggle up to you.,0.5,2,4
I don't know if you've heard of her,I don't know if you've heard of her.,0.0,0,8
But bringing the party together will be easier said than done.,But bringing the party together will be easier said than done.,0.0,0,11
I have seen so many who know that God has not given us a spirit of fear,I have seen so many who know that God has not given us a spirit of fear.,0.0,0,17
I try to improve it,I try to embrace it.,0.2,1,5
We all know that unfortunately schools are not always the safest places.,"We all know that, unfortunately, schools are not always the safest places.",0.0,0,12
"Now, nine things have been reported in the city.",No deaths have been reported in the city.,0.375,3,8
He has no criminal convictions.,He has no criminal convictions.,0.0,0,5
Thank you for signing up,Thank you for signing up.,0.0,0,5
This is the price paid for counting ins rather than chicken appeons.,This is the price paid for counting eggs rather than chicken embryos.,0.16666666666666666,2,12
Classly grew up on a family farm where he still wats,"Grassley grew up on a family farm, where he still works.",0.18181818181818182,2,11
We deserted to ask them,We decided to ask them.,0.2,1,5
And everyone involved in the case bore the jury and been here before.,"And everyone involved in the case, bar the jury, had been here before.",0.15384615384615385,2,13
A talk is fictioned below the takes,A dog is featured below the text.,0.42857142857142855,3,7
Lo and behold they did not,"Lo and behold, they did not.",0.0,0,6
Who so you need to put away the milk and cereal,"Oh, so you need to put away the milk and cereal?",0.09090909090909091,1,11
Everything Trump wants to do there comes everything Trudeau was to do,Everything Trump wants to do threatens everything Trudeau wants to do.,0.2727272727272727,3,11
Peter was in bed when I walked into the bedroom.,Peter was in bed when I walked into the bedroom.,0.0,0,10
How does she live with herself,How does she live with herself?,0.0,0,6
I'm not even disputing the results of the boil.,I'm not even disputing the results of the board.,0.1111111111111111,1,9
"And a reckoning, I say, and not turned north that",And Hurricane Jose had not turned north yet.,0.75,6,8
The two have since taken some steps towards a reprimand.,The two have since taken some steps toward a rapprochement.,0.2,2,10
But there have often been times when talking has been a problematic iller.,But there have often been times when Turkey has been a problematic ally.,0.15384615384615385,2,13
Check out the new Selds additives.,Check out the new Sales items!,0.3333333333333333,2,6
I just to start there and sort it all up,I just stood there and soaked it all up.,0.3333333333333333,3,9
That's a good way to get started.,That's a good way to get started.,0.0,0,7
I was on trances,I was on crutches.,0.25,1,4
When you stumble to think of it,When you stop to think of it.,0.14285714285714285,1,7
It kind of be used to hassle somebody.,It could be used to hassle somebody.,0.2857142857142857,2,7
America is leasing it,America is losing it.,0.25,1,4
I don't know whether you did yours first,I don't know whether you did yours first.,0.0,0,8
The stinking clad grows under the carpen,The sticky slide rugs under the carpet.,0.5714285714285714,4,7
I think the majority are in that,I think the majority are in that.,0.0,0,7
The people I know are from there,The people I know are from there.,0.0,0,7
I haven't seen too many lately.,I haven't seen too many lately.,0.0,0,6
I've only seen him in funny stuff,I've only seen him in funny stuff.,0.0,0,7
For a different section,For a different section.,0.0,0,4
Their mother was sick at times,Their mother was sick at times.,0.0,0,6
Lieutenant had no regrets about her decision.,Wilkinson had no regrets about her decision.,0.14285714285714285,1,7
My three year old,My three year old.,0.0,0,4
I really just started,I really just started.,0.0,0,4
If you're on a trip or something,If you're on a trip or something.,0.0,0,7
She handles it pretty well,She handles it pretty well.,0.0,0,5
We ran into some problems,We ran into some problems.,0.0,0,5
I just got the new issuer,I just got the new issue.,0.16666666666666666,1,6
You’ll still see people,You'll still see people.,0.25,1,4
To separate the news from the comment,To separate the news from the comment.,0.0,0,7
Like the old ache wizards,Like the old Hank Williams.,0.4,2,5
I would work in the summer,I would work in the summer.,0.0,0,6
Dealer untrijadad this to convernmation bias,Taylor attributed this to confirmation bias.,0.5,3,6
We apologize but this video as found to learn,"We apologize, but this video has failed to load.",0.3333333333333333,3,9
"Go talk to her in the library, I'll be right down.","Go talk to her in the lobby, I'll be right down!",0.09090909090909091,1,11
This project has been a real team effort.,This project has been a real team effort.,0.0,0,8
He can consistently store the damage you need to trial your an into play,He can consistently score the damage you need to prowl your hand into play.,0.21428571428571427,3,14
This is a ting powders revisited.,This is headache powders revisited.,0.4,2,5
Understanding the mobile class name,Understanding the mobile landscape.,0.5,2,4
Trump as nominee T. Weizherm bar as the next attorney general,Trump has nominated William Barr as the next attorney general.,0.5,5,10
Maxwell thinks a similar argument should be made for source indolence.,Pasquale thinks a similar argument should be made for search engines.,0.2727272727272727,3,11
The Hercules and rebel stack medals I Helen’s here,The Hercules and rainbow stag beetles are highlights here.,0.5555555555555556,5,9
A visual comparison of various distances,A Visual Comparison of Various Distances,0.0,0,6
I could hear my accelerated breathing,I could hear my accelerated breathing.,0.0,0,6
The news and stories that matter delivered with warnings.,"The news and stories that matter, delivered weekday mornings.",0.2222222222222222,2,9
Which Amica gives impressed you it terms of gameplay or cynical trish,Which Amiga games impressed you in terms of gameplay or technical tricks?,0.4166666666666667,5,12
Also at that game we were starting to hate is other a little bit,"Also, at that time we were starting to hate each other a little bit.",0.14285714285714285,2,14
Are either or both does disordered dangerous under thevis counties are tonists,Are either or both dogs considered dangerous under Davis County ordinance?,0.5454545454545454,6,11
Cited and difficult calculations,Target and Difficulty Calculations,0.5,2,4
What is beef jerky anyway,"What is beef jerky, anyway?",0.0,0,5
The when’tenty you choose extends the quantity available,The quantity you chose exceeds the quantity available.,0.375,3,8
But even at its most scientificing the concept is someple,"But even at its most scientific, the concept is simple.",0.2,2,10
Are they the same there,Are they the same there?,0.0,0,5
Is it a government or a real con of importance?,Is it a novelty or a real coin of importance?,0.2,2,10
Water into this bowl,Water into this bowl.,0.0,0,4
We just left it alone.,We just left it alone.,0.0,0,5
You can always eat it up again.,You can always heat it up again.,0.14285714285714285,1,7
Trying to find someone at home,Trying to find someone at home.,0.0,0,6
Short of like an insane program,Sort of like an exchange program.,0.3333333333333333,2,6
I don't know how we could make it more fair.,I don't know how we could make it more fair.,0.0,0,10
Better than your up’d,Better than Europe.,0.6666666666666666,2,3
To go out fishing in a bit,To go out fishing in a boat.,0.14285714285714285,1,7
About four hundred shed up,About four hundred showed up.,0.2,1,5
We came from leaving in a condo for nine years,We came from living in a condo for nine years.,0.1,1,10
They were printing much in good taste.,They were pretty much in good taste.,0.14285714285714285,1,7
I never quite found a New York fan,I never quite found a New York fan.,0.0,0,8
Before you realize anything is going on,Before you realize anything is going on.,0.0,0,7
When I'm up here,When I'm up here.,0.0,0,4
And that's what it falls under.,And that's what it falls under.,0.0,0,6
I never go to the fishing section.,I never go to the fiction section.,0.14285714285714285,1,7
"Our sleeping pace, I guess.",Our sleeping bags I guess.,0.2,1,5
She things like that,See things like that.,0.25,1,4
I don't get that,I don't get that.,0.0,0,4
We're going to have to do something,We're going to have to do something.,0.0,0,7
I wasn't really,I wasn't really.,0.0,0,3
We think it's good,We think it's good.,0.0,0,4
It is in agreement with its provisions,It is in agreement with its provisions.,0.0,0,7
I can really tell the difference,I can really tell the difference.,0.0,0,6
The last book I read,The last book I read.,0.0,0,5
Almost like a drilling,Almost like a tingling.,0.25,1,4
I think that could work as a toy.,I think that could work as a toy.,0.0,0,8
I noticed those taxes,I noticed those dogs.,0.25,1,4
Those games are fun to watch,Those games are fun to watch.,0.0,0,6
Things of that t-shirt which made us feel good,Things of that nature which made us feel good.,0.1111111111111111,1,9
What kind of dog do you have?,What kind of dog do you have.,0.0,0,7
They are going to get a gone no matter what,They are going to get a gun no matter what.,0.1,1,10
A little brief auto bicagacy of thyselves,A little brief autobiography of themselves.,0.5,3,6
On occasion I can wear jeans,On occasion I can wear jeans.,0.0,0,6
The news was first reported by Dithan Alamate,The news was first reported by Deadline Hollywood.,0.25,2,8
Students to not like this response,Students do not like this response.,0.16666666666666666,1,6
There are no more five-kilocalories talkers straight of the map,There are no more vehicle tokens spread across the map.,0.4,4,10
Where is the Ovatiss that they persist conscious?,Where is the evidence that they possess consciousness?,0.375,3,8
"Nevertheless, I row my house as I get up.",Nevertheless I roll my eyes as I get up.,0.2222222222222222,2,9
People will do emulated context things for a patient,"People will do humiliating, grotesque things for ambition.",0.5,4,8
Reveral correspondence had their new perks searched,Several correspondents had their notebooks searched.,0.6666666666666666,4,6
They said of immerserance to start new cancer callers.,They send off emissaries to start new cancer colonies.,0.4444444444444444,4,9
You actually look forward to finances or records raiding your company.,You actually look forward to foxes or raccoons raiding your garbage.,0.2727272727272727,3,11
For example the face might be typically bittered right black and white,"For example, the face might be typically painted red, black and white.",0.16666666666666666,2,12
It was given to you the minute you cast your pollen.,It was given to you the minute you cast your ballot.,0.09090909090909091,1,11
"Check out EP crowns, dlicks, and other online sites for deals.","Check out eBay, Craigslist and other online sites for deals.",0.3,3,10
Sign up for our daily newsletter of the top stories in Curry County.,Sign up for our daily newsletter of the top stories in Courier country.,0.15384615384615385,2,13
Such things are a violation of the UN Charter,Such threats are a violation of the UN Charter.,0.1111111111111111,1,9
Never makes a moment,Never miss a moment!,0.25,1,4
He is not making any major changes for the rearmost.,He is not making any major changes for the rematch.,0.1,1,10
Works is the implication of blame,Worse is the implication of blame.,0.16666666666666666,1,6
